request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_27,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_28,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_29,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_30,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_31,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_32,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_33,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_34,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_35,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_36,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_37,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_38,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_39,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_40,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_41,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_42,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_43,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_44,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_45,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_46,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_47,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_48,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_49,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_50,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_51,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_52,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_53,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_54,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_55,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_56,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_57,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_58,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_59,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_60,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_61,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_62,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_63,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_64,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_65,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_66,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_67,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_68,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_69,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_70,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
request_71,0,not_affordable,not_recommended,none,,none,Could not be safely evaluated; flagged for review.
